
SUBSTR(T.CALLER,1,7)					   COUNT(*)
SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0079262 							  4
0079263 							  3
0079265 							  6
0079266 							 15
0079284 							  2
0079288 							 27
0079600 							  2
0079603 							 24
0079604 							  8
0079605 							  5
0079608 							  5

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0079609 							  1
0079615 							  3
0084907 							  2
0084919 							  3
0085260 							  4
0085261 							  1
0085262 							  2
0085267 							  4
0085268 							  5
0085290 							 35
0085291 							  5

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0085293 							  2
0085294 							  3
0085298 							  3
0085512 							  5
0088216 							 92
0088691 							 22
0088692 							 18
0090505 							134
0090532 							299
0090533 							166
0090535 							415

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0090536 							401
0090537 							491
0090538 							587
0090539 							  4
0090542 							111
0090543 							192
0090544 							192
0090546 							148
0090552 							  5
0090555 							109
0091941 							  1

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0091944 							 16
0091981 							 15
0091982 							 14
0091983 							  8
0091984 							  9
0091985 							 12
0091986 							  2
0091987 							  4
0091988 							 12
0091989 							 10
0091991 							  3

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0091992 							 26
0091993 							  4
0091994 							  3
0091998 							  2
0092300 							  5
0092301 							  6
0092302 							  2
0092304 							  1
0092321 							  4
0092333 							 61
0092334 							 10

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0093703 							  2
0094713 							 16
0094714 							 12
0094716 							  5
0094722 							 23
0094723 							 50
0094724 							 21
0094773 							 62
0094775 							 13
0094776 							182
0094777 							 55

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0094779 							232
0094914 							  1
0096078 							  1
0096130 							 22
0096131 							 59
0096132 							 34
0096133 							 55
0096134 							 28
0096135 							 36
0096136 							 51
0096137 							 22

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0096138 							 13
0096139 							 40
0096170 							101
0096274 							 25
